RA02,RA02QS013,RA02QS013Q001,RA02QS013Q001S01,What proportion of applications and associated data critical to the basic infrastructure and government continuity is exposed to the following hazards? (Exclude the applications and data which are routinely backed up and processable at a remote site in case of emergency.)
RA02,RA02QS014,RA02QS014Q001,RA02QS014Q001S01,What proportion of education structures is exposed to the following hazards?
RA02,RA02QS014,RA02QS014Q002,RA02QS014Q002S02,What proportion of education data and associated applications is exposed to the following hazards? (Exclude the applications and data which are routinely backed up and processable at a remote site in case of emergency.)
RA02,RA02QS015,RA02QS015Q001,RA02QS015Q001S01,What proportion of healthcare beds is exposed to the following hazards?
RA02,RA02QS015,RA02QS015Q002,RA02QS015Q002S02,What proportion of patient and health system data and associated applications is exposed to the following hazards? (Exclude the applications and data which are routinely backed up and processable at a remote site in case of emergency.)
RA03,RA03QS001,RA03QS001Q001,RA03QS001Q001S01,To what degree of hazard intensity can the communication services in the city remain functional? Answer for each hazard type. (The same shall apply to all questions in this section.)
RA03,RA03QS002,RA03QS002Q001,RA03QS002Q001S01,To what degree of hazard intensity can the electricity provision in the city remain functional?
RA03,RA03QS003,RA03QS003Q001,RA03QS003Q001S01,To what degree of hazard intensity can the water and sanitation service in the city remain functional?
RA03,RA03QS004,RA03QS004Q001,RA03QS004Q001S01,To what degree of hazard intensity can the gas provision in the city remain functional?
RA03,RA03QS005,RA03QS005Q001,RA03QS005Q001S01,To what degree of hazard intensity can the major roads in the city remain functional?
RA03,RA03QS006,RA03QS006Q001,RA03QS006Q001S01,To what degree of hazard intensity can the major rail lines in the city remain functional?
RA03,RA03QS007,RA03QS007Q001,RA03QS007Q001S01,To what degree of hazard intensity can the airline connections to and from the city remain functional?
RA03,RA03QS008,RA03QS008Q001,RA03QS008Q001S01,To what degree of hazard intensity can the shipping connections to and from the city remain functional?
RA03,RA03QS009,RA03QS009Q001,RA03QS009Q001S01,To what degree of hazard intensity can the law and order services in the city remain functional?
RA03,RA03QS010,RA03QS010Q001,RA03QS010Q001S01,To what degree of hazard intensity can the major food distribution stations in the city remain functional?
RA03,RA03QS011,RA03QS011Q001,RA03QS011Q001S01,To what degree of hazard intensity can the major fuel distribution stations in the city remain functional?
RA03,RA03QS012,RA03QS012Q001,RA03QS012Q001S01,To what degree of hazard intensity can the administrative operations in the city remain functional?
RA03,RA03QS013,RA03QS013Q001,RA03QS013Q001S01,To what degree of hazard intensity can the education structures in the city remain functional?
RA03,RA03QS014,RA03QS014Q001,RA03QS014Q001S01,To what degree of hazard intensity can the primary healthcare service in the city remain functional?
RA03,RA03QS014,RA03QS014Q002,RA03QS014Q002S02,To what degree of hazard intensity can the emergency healthcare service in the city remain functional?
RA04,RA04QS032,RA04QS032Q001,RA04QS032Q001S01,Does the occurrence of A have a negative impact on the occurrence of B in the city?
RA04,RA04QS033,RA04QS033Q001,RA04QS033Q001S01,Is climate change likely to have a positive impact on the occurrence of following hazards in the city?
